--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:122654] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122653] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122654] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122653] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
% MAGMA 2.5.4  compiled for CUDA capability >= 8.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 2. MKL 2021.0.1, MKL threads 1. 
% device 0: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 1: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% Sun Mar 21 20:21:33 2021
world size (GPU number) is 2
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000723 BandWidth: 553.29 
Times: 0.000717 BandWidth: 558.08 
Times: 0.000728 BandWidth: 549.49 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000726 BandWidth: 550.93 
Times: 0.000912 BandWidth: 438.73 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000727 BandWidth: 550.21 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000723 BandWidth: 553.48 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000723 BandWidth: 553.29 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000723 BandWidth: 553.29 
Times: 0.000728 BandWidth: 549.67 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000725 BandWidth: 552.02 
Times: 0.000723 BandWidth: 553.48 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000731 BandWidth: 547.34 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000727 BandWidth: 550.21 
Times: 0.000728 BandWidth: 549.67 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000744 BandWidth: 537.87 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000728 BandWidth: 549.67 
Times: 0.000728 BandWidth: 549.67 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000723 BandWidth: 553.48 
Times: 0.000722 BandWidth: 554.02 
Times: 0.000740 BandWidth: 540.64 
Times: 0.000723 BandWidth: 553.29 
Times: 0.000750 BandWidth: 533.42 
Times: 0.000768 BandWidth: 521.00 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000723 BandWidth: 553.48 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000729 BandWidth: 548.95 
Times: 0.000732 BandWidth: 546.45 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000717 BandWidth: 557.89 
Times: 0.000729 BandWidth: 548.95 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000724 BandWidth: 552.75 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000724 BandWidth: 552.75 
Times: 0.000717 BandWidth: 557.89 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000709 BandWidth: 564.27 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000708 BandWidth: 565.03 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000717 BandWidth: 558.08 
Times: 0.000723 BandWidth: 553.48 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000708 BandWidth: 565.22 
Times: 0.000709 BandWidth: 564.27 
Times: 0.000706 BandWidth: 566.56 
Times: 0.000715 BandWidth: 559.75 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000709 BandWidth: 564.27 
Times: 0.000720 BandWidth: 555.86 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000850 BandWidth: 470.73 
Times: 0.000737 BandWidth: 542.91 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000717 BandWidth: 558.08 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000717 BandWidth: 558.08 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000723 BandWidth: 553.48 
Times: 0.000717 BandWidth: 558.08 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000724 BandWidth: 552.57 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000723 BandWidth: 553.29 
Times: 0.000724 BandWidth: 552.57 
Times: 0.000920 BandWidth: 434.98 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000732 BandWidth: 546.63 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000757 BandWidth: 528.55 
Times: 0.000755 BandWidth: 529.88 
Times: 0.000757 BandWidth: 528.55 
Times: 0.000748 BandWidth: 534.78 
Times: 0.000729 BandWidth: 548.77 
Times: 0.000744 BandWidth: 537.69 
Times: 0.000749 BandWidth: 534.10 
Times: 0.000749 BandWidth: 534.10 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000710 BandWidth: 563.70 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000724 BandWidth: 552.57 
Times: 0.000717 BandWidth: 557.89 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000724 BandWidth: 552.57 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000709 BandWidth: 564.46 
Times: 0.000709 BandWidth: 564.46 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000716 BandWidth: 558.64 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000714 BandWidth: 560.31 
