--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              nirvana
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   nirvana
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 6.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 1. 
% device 0: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 1: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 2: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 3: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% Mon Mar 22 04:34:15 2021
world size (GPU number) is 2
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000694 BandWidth: 576.48 
Times: 0.000746 BandWidth: 536.32 
Times: 0.000705 BandWidth: 567.51 
Times: 0.000688 BandWidth: 581.68 
Times: 0.000731 BandWidth: 547.34 
Times: 0.000749 BandWidth: 534.10 
Times: 0.000706 BandWidth: 566.75 
Times: 0.000702 BandWidth: 569.83 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000741 BandWidth: 539.94 
Times: 0.000760 BandWidth: 526.39 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000745 BandWidth: 537.01 
Times: 0.000737 BandWidth: 542.91 
Times: 0.000689 BandWidth: 580.67 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000705 BandWidth: 567.51 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000729 BandWidth: 548.77 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000723 BandWidth: 553.48 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000705 BandWidth: 567.51 
Times: 0.000739 BandWidth: 541.51 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000760 BandWidth: 526.39 
Times: 0.000734 BandWidth: 545.21 
Times: 0.000768 BandWidth: 521.00 
Times: 0.000730 BandWidth: 548.05 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000734 BandWidth: 545.03 
Times: 0.000754 BandWidth: 530.72 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000705 BandWidth: 567.51 
Times: 0.000728 BandWidth: 549.49 
Times: 0.000736 BandWidth: 543.62 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000735 BandWidth: 544.32 
Times: 0.000707 BandWidth: 565.79 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000708 BandWidth: 565.03 
Times: 0.000705 BandWidth: 567.51 
Times: 0.000744 BandWidth: 537.69 
Times: 0.000709 BandWidth: 564.46 
Times: 0.000749 BandWidth: 534.27 
Times: 0.000724 BandWidth: 552.57 
Times: 0.000735 BandWidth: 544.50 
Times: 0.000695 BandWidth: 575.69 
Times: 0.000690 BandWidth: 579.87 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000731 BandWidth: 547.34 
Times: 0.000734 BandWidth: 545.03 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000744 BandWidth: 537.69 
Times: 0.000745 BandWidth: 537.01 
Times: 0.000703 BandWidth: 569.05 
Times: 0.000722 BandWidth: 554.02 
Times: 0.000733 BandWidth: 545.74 
Times: 0.000752 BandWidth: 532.07 
Times: 0.000706 BandWidth: 566.75 
Times: 0.000736 BandWidth: 543.62 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000772 BandWidth: 518.26 
Times: 0.000752 BandWidth: 531.90 
Times: 0.000783 BandWidth: 511.01 
Times: 0.000685 BandWidth: 583.90 
Times: 0.000747 BandWidth: 535.63 
Times: 0.000723 BandWidth: 553.48 
Times: 0.000705 BandWidth: 567.51 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000761 BandWidth: 525.90 
Times: 0.000723 BandWidth: 553.29 
Times: 0.000676 BandWidth: 591.73 
Times: 0.000717 BandWidth: 558.08 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000704 BandWidth: 568.28 
Times: 0.000746 BandWidth: 536.32 
Times: 0.000720 BandWidth: 555.86 
Times: 0.000735 BandWidth: 544.32 
Times: 0.000750 BandWidth: 533.42 
Times: 0.000703 BandWidth: 569.25 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000724 BandWidth: 552.75 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000728 BandWidth: 549.49 
Times: 0.000742 BandWidth: 539.08 
Times: 0.000748 BandWidth: 534.78 
Times: 0.001089 BandWidth: 367.37 
Times: 0.000750 BandWidth: 533.59 
Times: 0.000737 BandWidth: 542.91 
Times: 0.000729 BandWidth: 548.77 
Times: 0.000730 BandWidth: 548.05 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000744 BandWidth: 537.87 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000785 BandWidth: 509.61 
Times: 0.000700 BandWidth: 571.57 
Times: 0.000731 BandWidth: 547.34 
Times: 0.000779 BandWidth: 513.51 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000700 BandWidth: 571.38 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000715 BandWidth: 559.75 
Times: 0.000770 BandWidth: 519.55 
Times: 0.000723 BandWidth: 553.29 
Times: 0.000707 BandWidth: 565.79 
Times: 0.000702 BandWidth: 570.02 
Times: 0.000705 BandWidth: 567.51 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000738 BandWidth: 542.04 
Times: 0.000706 BandWidth: 566.56 
Times: 0.000719 BandWidth: 556.41 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000743 BandWidth: 538.56 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000732 BandWidth: 546.63 
Times: 0.000753 BandWidth: 531.39 
Times: 0.000747 BandWidth: 535.63 
Times: 0.000751 BandWidth: 532.74 
Times: 0.000738 BandWidth: 542.21 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000741 BandWidth: 539.94 
Times: 0.000704 BandWidth: 568.28 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000704 BandWidth: 568.28 
Times: 0.000693 BandWidth: 577.47 
Times: 0.000747 BandWidth: 535.63 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000708 BandWidth: 565.22 
Times: 0.000703 BandWidth: 569.05 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000737 BandWidth: 542.91 
Times: 0.000708 BandWidth: 565.03 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000703 BandWidth: 569.25 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000743 BandWidth: 538.56 
Times: 0.000734 BandWidth: 545.21 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000706 BandWidth: 566.75 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000730 BandWidth: 548.05 
Times: 0.000721 BandWidth: 554.76 
Times: 0.000750 BandWidth: 533.42 
Times: 0.000723 BandWidth: 553.29 
Times: 0.001234 BandWidth: 324.28 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000719 BandWidth: 556.60 
Times: 0.000779 BandWidth: 513.51 
Times: 0.000709 BandWidth: 564.46 
Times: 0.000739 BandWidth: 541.34 
Times: 0.000722 BandWidth: 554.02 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000701 BandWidth: 570.80 
Times: 0.000754 BandWidth: 530.72 
Times: 0.000752 BandWidth: 532.07 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000708 BandWidth: 565.03 
Times: 0.000728 BandWidth: 549.67 
Times: 0.000758 BandWidth: 527.88 
Times: 0.000747 BandWidth: 535.63 
Times: 0.000757 BandWidth: 528.55 
Times: 0.000722 BandWidth: 554.02 
Times: 0.000725 BandWidth: 552.02 
Times: 0.000724 BandWidth: 552.57 
Times: 0.000708 BandWidth: 565.22 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000727 BandWidth: 550.39 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000735 BandWidth: 544.50 
Times: 0.000735 BandWidth: 544.32 
Times: 0.000736 BandWidth: 543.62 
Times: 0.000701 BandWidth: 570.80 
Times: 0.000728 BandWidth: 549.67 
Times: 0.000732 BandWidth: 546.63 
Times: 0.000717 BandWidth: 557.89 
Times: 0.000722 BandWidth: 554.21 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000740 BandWidth: 540.81 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000703 BandWidth: 569.25 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000742 BandWidth: 539.25 
Times: 0.000756 BandWidth: 529.22 
Times: 0.000694 BandWidth: 576.48 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000739 BandWidth: 541.51 
Times: 0.000743 BandWidth: 538.56 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000731 BandWidth: 547.34 
Times: 0.000689 BandWidth: 580.67 
Times: 0.000732 BandWidth: 546.63 
Times: 0.000721 BandWidth: 554.94 
Times: 0.000735 BandWidth: 544.32 
Times: 0.000704 BandWidth: 568.28 
Times: 0.000720 BandWidth: 555.68 
Times: 0.000741 BandWidth: 539.94 
Times: 0.000733 BandWidth: 545.91 
Times: 0.000746 BandWidth: 536.32 
Times: 0.000733 BandWidth: 545.74 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000772 BandWidth: 518.26 
Times: 0.000699 BandWidth: 572.35 
Times: 0.000745 BandWidth: 537.01 
Times: 0.000745 BandWidth: 537.01 
Times: 0.000743 BandWidth: 538.56 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000725 BandWidth: 551.84 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000686 BandWidth: 583.30 
Times: 0.000728 BandWidth: 549.67 
Times: 0.000724 BandWidth: 552.57 
Times: 0.000723 BandWidth: 553.48 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000748 BandWidth: 534.95 
Times: 0.000688 BandWidth: 581.48 
Times: 0.000723 BandWidth: 553.29 
Times: 0.000709 BandWidth: 564.46 
Times: 0.000742 BandWidth: 539.25 
Times: 0.000736 BandWidth: 543.62 
Times: 0.000706 BandWidth: 566.75 
Times: 0.000718 BandWidth: 557.15 
Times: 0.000718 BandWidth: 557.34 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000731 BandWidth: 547.34 
Times: 0.000738 BandWidth: 542.21 
Times: 0.000777 BandWidth: 514.93 
Times: 0.000733 BandWidth: 545.91 
Times: 0.000700 BandWidth: 571.57 
