--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:123065] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:123065] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
% MAGMA 2.5.4  compiled for CUDA capability >= 8.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 2. MKL 2021.0.1, MKL threads 1. 
% device 0: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% Sun Mar 21 20:21:45 2021
world size (GPU number) is 1
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000815 BandWidth: 490.97 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000814 BandWidth: 491.55 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000815 BandWidth: 490.97 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000813 BandWidth: 492.12 
Times: 0.000814 BandWidth: 491.55 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000821 BandWidth: 487.27 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000814 BandWidth: 491.55 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000820 BandWidth: 487.83 
Times: 0.000815 BandWidth: 490.97 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000815 BandWidth: 490.97 
Times: 0.000817 BandWidth: 489.68 
Times: 0.002685 BandWidth: 149.02 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000815 BandWidth: 490.83 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000818 BandWidth: 489.25 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000821 BandWidth: 487.27 
Times: 0.000815 BandWidth: 490.83 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000815 BandWidth: 490.97 
Times: 0.000815 BandWidth: 490.83 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000814 BandWidth: 491.55 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000815 BandWidth: 490.83 
Times: 0.000821 BandWidth: 487.27 
Times: 0.000815 BandWidth: 490.83 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000815 BandWidth: 490.83 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000818 BandWidth: 489.25 
Times: 0.000814 BandWidth: 491.55 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000821 BandWidth: 487.41 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000826 BandWidth: 484.45 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000821 BandWidth: 487.41 
Times: 0.000815 BandWidth: 490.97 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000822 BandWidth: 486.70 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000815 BandWidth: 490.83 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000817 BandWidth: 489.83 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000815 BandWidth: 490.97 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000814 BandWidth: 491.40 
Times: 0.000820 BandWidth: 487.97 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000815 BandWidth: 490.97 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000816 BandWidth: 490.25 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000815 BandWidth: 490.83 
Times: 0.000819 BandWidth: 488.54 
Times: 0.000815 BandWidth: 490.97 
Times: 0.000818 BandWidth: 489.11 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000817 BandWidth: 489.68 
Times: 0.000816 BandWidth: 490.40 
Times: 0.000814 BandWidth: 491.55 
Times: 0.000815 BandWidth: 490.83 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000711 BandWidth: 562.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000717 BandWidth: 558.08 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000709 BandWidth: 564.27 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000711 BandWidth: 562.57 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000715 BandWidth: 559.75 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000715 BandWidth: 559.75 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000716 BandWidth: 558.64 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000716 BandWidth: 558.64 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000711 BandWidth: 562.57 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000717 BandWidth: 557.89 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000715 BandWidth: 559.75 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000717 BandWidth: 557.89 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.25 
Times: 0.001844 BandWidth: 216.95 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000715 BandWidth: 559.75 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000711 BandWidth: 562.57 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000711 BandWidth: 562.57 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000711 BandWidth: 562.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000711 BandWidth: 562.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000717 BandWidth: 558.08 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000717 BandWidth: 558.08 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000710 BandWidth: 563.51 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000715 BandWidth: 559.75 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000716 BandWidth: 558.82 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000714 BandWidth: 560.50 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000713 BandWidth: 561.25 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000712 BandWidth: 561.81 
Times: 0.000712 BandWidth: 562.00 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000711 BandWidth: 562.76 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000713 BandWidth: 561.06 
Times: 0.000714 BandWidth: 560.31 
Times: 0.000715 BandWidth: 559.57 
Times: 0.000714 BandWidth: 560.31 
