--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              samsara
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   samsara
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 7.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11020. OpenMP threads 1. 
% device 0: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 1: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 2: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 3: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% Mon Mar 22 04:37:02 2021
world size (GPU number) is 2
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000363 BandWidth: 1102.59 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000362 BandWidth: 1104.77 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000362 BandWidth: 1104.77 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000357 BandWidth: 1120.25 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000357 BandWidth: 1120.25 
Times: 0.000360 BandWidth: 1112.09 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000362 BandWidth: 1104.77 
Times: 0.000360 BandWidth: 1112.09 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000362 BandWidth: 1104.77 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000363 BandWidth: 1102.59 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000363 BandWidth: 1102.59 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000363 BandWidth: 1101.87 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000362 BandWidth: 1104.77 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000363 BandWidth: 1101.87 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000362 BandWidth: 1104.77 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000357 BandWidth: 1120.25 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000364 BandWidth: 1098.98 
Times: 0.000363 BandWidth: 1101.87 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000364 BandWidth: 1098.98 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000363 BandWidth: 1101.87 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000355 BandWidth: 1127.03 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000375 BandWidth: 1066.84 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000363 BandWidth: 1102.59 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000360 BandWidth: 1112.09 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000363 BandWidth: 1102.59 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000363 BandWidth: 1102.59 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000357 BandWidth: 1120.25 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1112.09 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000364 BandWidth: 1099.70 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000356 BandWidth: 1124.01 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000362 BandWidth: 1104.77 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000363 BandWidth: 1102.59 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000357 BandWidth: 1120.25 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000357 BandWidth: 1120.25 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1112.09 
Times: 0.000356 BandWidth: 1124.01 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000356 BandWidth: 1124.01 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000356 BandWidth: 1124.01 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000355 BandWidth: 1127.03 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000362 BandWidth: 1104.77 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000357 BandWidth: 1120.25 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000356 BandWidth: 1124.01 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000356 BandWidth: 1124.01 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.001927 BandWidth: 207.64 
Times: 0.000363 BandWidth: 1102.59 
Times: 0.000357 BandWidth: 1120.25 
Times: 0.000357 BandWidth: 1120.25 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1118.02 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000356 BandWidth: 1124.01 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000356 BandWidth: 1124.01 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000357 BandWidth: 1121.00 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000360 BandWidth: 1112.09 
Times: 0.000359 BandWidth: 1115.04 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000356 BandWidth: 1124.01 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000352 BandWidth: 1136.95 
Times: 0.000347 BandWidth: 1153.36 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000346 BandWidth: 1156.54 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.001761 BandWidth: 227.21 
Times: 0.000350 BandWidth: 1143.15 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000346 BandWidth: 1156.54 
Times: 0.000342 BandWidth: 1170.25 
Times: 0.000346 BandWidth: 1156.54 
Times: 0.000346 BandWidth: 1155.74 
Times: 0.000347 BandWidth: 1152.57 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000347 BandWidth: 1153.36 
Times: 0.000346 BandWidth: 1155.74 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000347 BandWidth: 1153.36 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000346 BandWidth: 1156.54 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000344 BandWidth: 1163.76 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000346 BandWidth: 1156.54 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000346 BandWidth: 1156.54 
Times: 0.000343 BandWidth: 1167.00 
Times: 0.000343 BandWidth: 1166.19 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000343 BandWidth: 1166.19 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000346 BandWidth: 1156.54 
Times: 0.000347 BandWidth: 1153.36 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000346 BandWidth: 1156.54 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000344 BandWidth: 1163.76 
Times: 0.000343 BandWidth: 1166.19 
Times: 0.000341 BandWidth: 1172.71 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000343 BandWidth: 1166.19 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000348 BandWidth: 1149.41 
Times: 0.000343 BandWidth: 1166.19 
Times: 0.000346 BandWidth: 1155.74 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000348 BandWidth: 1149.41 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000344 BandWidth: 1162.95 
Times: 0.000345 BandWidth: 1159.74 
Times: 0.000345 BandWidth: 1158.94 
Times: 0.000346 BandWidth: 1156.54 
