--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              nirvana
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   nirvana
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 6.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 20. 
% device 0: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 1: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 2: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 3: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% Mon Mar 22 04:34:28 2021
world size (GPU number) is 4
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
nruns is 2000 
nruns is 2000 
Times: 0.000240 BandWidth: 1668.13 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000247 BandWidth: 1619.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000240 BandWidth: 1666.48 
Times: 0.000243 BandWidth: 1646.85 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000234 BandWidth: 1710.64 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000930 BandWidth: 430.18 
Times: 0.000251 BandWidth: 1595.19 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000241 BandWidth: 1659.88 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000247 BandWidth: 1619.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000243 BandWidth: 1646.85 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000243 BandWidth: 1646.85 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000235 BandWidth: 1703.70 
Times: 0.000248 BandWidth: 1613.60 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000238 BandWidth: 1681.50 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000235 BandWidth: 1701.97 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000240 BandWidth: 1666.48 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000234 BandWidth: 1708.90 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000239 BandWidth: 1674.79 
Times: 0.000247 BandWidth: 1619.83 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000241 BandWidth: 1659.88 
Times: 0.000245 BandWidth: 1634.02 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000227 BandWidth: 1762.75 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000250 BandWidth: 1599.75 
Times: 0.000237 BandWidth: 1688.27 
Times: 0.000236 BandWidth: 1695.09 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000227 BandWidth: 1762.75 
Times: 0.000238 BandWidth: 1681.50 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.001059 BandWidth: 377.79 
Times: 0.000237 BandWidth: 1688.27 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000238 BandWidth: 1681.50 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000246 BandWidth: 1627.68 
Times: 0.000245 BandWidth: 1634.02 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000239 BandWidth: 1674.79 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000238 BandWidth: 1681.50 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000237 BandWidth: 1688.27 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000234 BandWidth: 1710.64 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000240 BandWidth: 1666.48 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000235 BandWidth: 1703.70 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000240 BandWidth: 1666.48 
Times: 0.000235 BandWidth: 1701.97 
Times: 0.000236 BandWidth: 1695.09 
Times: 0.000238 BandWidth: 1681.50 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000244 BandWidth: 1640.41 
Times: 0.000236 BandWidth: 1695.09 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000243 BandWidth: 1646.85 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000242 BandWidth: 1653.34 
Times: 0.000246 BandWidth: 1626.11 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000241 BandWidth: 1661.53 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000986 BandWidth: 405.74 
Times: 0.000234 BandWidth: 1708.90 
Times: 0.000241 BandWidth: 1659.88 
Times: 0.000243 BandWidth: 1646.85 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000243 BandWidth: 1646.85 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000249 BandWidth: 1607.41 
Times: 0.000249 BandWidth: 1607.41 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000272 BandWidth: 1470.76 
Times: 0.000246 BandWidth: 1626.11 
Times: 0.000248 BandWidth: 1612.05 
Times: 0.000248 BandWidth: 1613.60 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000246 BandWidth: 1626.11 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000234 BandWidth: 1708.90 
Times: 0.000243 BandWidth: 1646.85 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000240 BandWidth: 1666.48 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000236 BandWidth: 1696.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000235 BandWidth: 1703.70 
Times: 0.000244 BandWidth: 1638.81 
Times: 0.000241 BandWidth: 1659.88 
Times: 0.000251 BandWidth: 1595.19 
Times: 0.000244 BandWidth: 1638.81 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000239 BandWidth: 1673.12 
Times: 0.000239 BandWidth: 1673.12 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000247 BandWidth: 1619.83 
Times: 0.000236 BandWidth: 1695.09 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000239 BandWidth: 1674.79 
Times: 0.000234 BandWidth: 1710.64 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000245 BandWidth: 1634.02 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1722.94 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000250 BandWidth: 1599.75 
Times: 0.000238 BandWidth: 1679.82 
Times: 0.000235 BandWidth: 1701.97 
Times: 0.000238 BandWidth: 1681.50 
Times: 0.000239 BandWidth: 1674.79 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000245 BandWidth: 1634.02 
Times: 0.000251 BandWidth: 1593.68 
Times: 0.000240 BandWidth: 1666.48 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000242 BandWidth: 1653.34 
Times: 0.000247 BandWidth: 1619.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000235 BandWidth: 1703.70 
Times: 0.000238 BandWidth: 1681.50 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000243 BandWidth: 1646.85 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000240 BandWidth: 1666.48 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000267 BandWidth: 1498.34 
Times: 0.000264 BandWidth: 1514.57 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000245 BandWidth: 1634.02 
Times: 0.000234 BandWidth: 1710.64 
Times: 0.000243 BandWidth: 1646.85 
Times: 0.000242 BandWidth: 1653.34 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000244 BandWidth: 1640.41 
Times: 0.000238 BandWidth: 1681.50 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000235 BandWidth: 1701.97 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000251 BandWidth: 1593.68 
Times: 0.000244 BandWidth: 1640.41 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000250 BandWidth: 1599.75 
Times: 0.000245 BandWidth: 1632.43 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000242 BandWidth: 1653.34 
Times: 0.000245 BandWidth: 1632.43 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000250 BandWidth: 1599.75 
Times: 0.000243 BandWidth: 1645.24 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000247 BandWidth: 1619.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000236 BandWidth: 1695.09 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000244 BandWidth: 1638.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000235 BandWidth: 1701.97 
Times: 0.000247 BandWidth: 1619.83 
Times: 0.000240 BandWidth: 1666.48 
Times: 0.000244 BandWidth: 1640.41 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000234 BandWidth: 1710.64 
Times: 0.000246 BandWidth: 1626.11 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000244 BandWidth: 1638.81 
Times: 0.000241 BandWidth: 1659.88 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000237 BandWidth: 1688.27 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000237 BandWidth: 1686.57 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000240 BandWidth: 1666.48 
Times: 0.000246 BandWidth: 1626.11 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000237 BandWidth: 1688.27 
Times: 0.000247 BandWidth: 1619.83 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000245 BandWidth: 1634.02 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000246 BandWidth: 1626.11 
Times: 0.000246 BandWidth: 1627.68 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000248 BandWidth: 1612.05 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000237 BandWidth: 1688.27 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000234 BandWidth: 1708.90 
Times: 0.000233 BandWidth: 1715.89 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000240 BandWidth: 1668.13 
Times: 0.000239 BandWidth: 1673.12 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000240 BandWidth: 1668.13 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000246 BandWidth: 1626.11 
Times: 0.000235 BandWidth: 1701.97 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000241 BandWidth: 1659.88 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000235 BandWidth: 1701.97 
Times: 0.000234 BandWidth: 1710.64 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000241 BandWidth: 1659.88 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000226 BandWidth: 1770.19 
Times: 0.000227 BandWidth: 1760.90 
Times: 0.000226 BandWidth: 1770.19 
Times: 0.000249 BandWidth: 1607.41 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000227 BandWidth: 1762.75 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000236 BandWidth: 1695.09 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000241 BandWidth: 1661.53 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000227 BandWidth: 1762.75 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000227 BandWidth: 1762.75 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000238 BandWidth: 1681.50 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000227 BandWidth: 1762.75 
Times: 0.000226 BandWidth: 1770.19 
Times: 0.000236 BandWidth: 1695.09 
Times: 0.000227 BandWidth: 1762.75 
Times: 0.000248 BandWidth: 1613.60 
